tau,case_id,expected_quality,expected_rank,raw,Cy,Cx,bucket,ocr_cheat,entropy
100.0,apple_plain,weak,0,0.00000000,0.00000000,0.43637902,failed,False,0.68502994
100.0,apple_baseball_poor,medium,1,0.03360145,0.08857362,0.62063820,failed,False,0.86991422
100.0,apple_baseball_good,strong,2,1.00000000,1.00000000,0.00000000,fooled,False,0.00000000
100.0,apple_baseball_text_attack,attack,3,0.00000000,1.00000000,0.00000000,failed,True,0.00000000
50.0,apple_plain,weak,0,0.00000000,0.00000000,0.46805970,failed,False,0.69110563
50.0,apple_baseball_poor,medium,1,0.09435751,0.18318137,0.48489570,failed,False,1.02812033
50.0,apple_baseball_good,strong,2,1.00000000,1.00000000,0.00000000,fooled,False,0.00000004
50.0,apple_baseball_text_attack,attack,3,0.00000000,1.00000000,0.00000000,failed,True,0.00000004
30.0,apple_plain,weak,0,0.00000009,0.00000018,0.48081283,failed,False,0.69256413
30.0,apple_baseball_poor,medium,1,0.13621483,0.23663078,0.42435708,failed,False,1.07871857
30.0,apple_baseball_good,strong,2,0.99998874,0.99999077,0.00000203,fooled,False,0.00012793
30.0,apple_baseball_text_attack,attack,3,0.00000000,0.99999150,0.00000123,failed,True,0.00011721
20.0,apple_plain,weak,0,0.00001274,0.00002483,0.48697296,failed,False,0.69687621
20.0,apple_baseball_poor,medium,1,0.16131432,0.26486830,0.39096403,confused,False,1.12975604
20.0,apple_baseball_good,strong,2,0.99915973,0.99931974,0.00016012,fooled,False,0.00655000
20.0,apple_baseball_text_attack,attack,3,0.00000000,0.99937760,0.00011479,failed,True,0.00600581
